customUser:user_Id,date,/CartScreen,/DashboardScreen,/LoginScreen,/OffersListPage,/ProductDetails,/ProductListing
100117465,2024-01-11,0,27,0,0,38,154
100117465,2024-01-28,2,9,0,0,0,0
100122192,2024-05-02,0,15,0,0,0,0
100122192,2024-05-03,0,10,11,0,0,0
100376756,2024-01-13,7,43,0,0,0,4
100376756,2024-01-14,112,143,0,0,25,11
100376756,2024-01-15,0,8,0,0,0,0
100376756,2024-01-23,0,102,19,0,0,0
100376756,2024-01-27,0,179,0,0,0,0
100376756,2024-01-30,0,25,0,0,0,0
100376756,2024-02-01,42,62,0,0,3,1
100376756,2024-02-02,0,173,0,0,0,0
100376756,2024-02-13,0,50,5,0,0,0
100448405,2024-03-29,4,40,67,0,0,0
100494415,2024-02-08,85,820,0,0,32,6
100494415,2024-02-25,0,10,0,0,0,0
100494415,2024-02-26,35,73,64,0,22,27
100898548,2024-04-09,0,29,9,0,0,0
101003254,2024-03-07,10,0,0,0,3,0
101003254,2024-03-08,0,7,7,0,0,0
101021453,2024-04-01,9,48,20,0,4,0
101065595,2024-01-11,0,0,0,0,8,0
101065595,2024-01-14,0,5,0,0,25,4
101065595,2024-03-12,0,26,1,0,0,0
101093660,2024-02-07,0,21,9,0,0,0
101157311,2024-01-13,177,0,0,0,7,9
101157311,2024-01-29,0,3,3,0,0,0
101157311,2024-02-02,27,49,13,0,0,0
101157311,2024-03-23,0,18,29,0,0,0
101359027,2024-03-14,73,0,0,0,2,1
101359027,2024-03-15,14,18,0,0,37,23
101359027,2024-03-16,0,43,0,0,12,10
101520125,2024-03-22,46,66,9,0,7,6
101562001,2024-03-27,16,47,14,0,2,5
101582439,2024-05-12,0,25,25,0,0,0
101649150,2024-01-20,0,5,10,0,0,0
101886293,2023-12-01,185,0,0,0,0,0
102075182,2024-02-09,0,12,17,0,0,0
102075182,2024-03-08,0,12,12,0,0,0
102456583,2024-04-08,0,14,10,0,0,0
102531979,2023-12-06,0,22,0,0,0,0
102531979,2023-12-07,0,15,31,0,0,0
102616711,2024-04-11,0,16,0,0,0,0
102616711,2024-04-12,0,6,8,0,0,0
102689312,2024-01-19,15,0,0,0,5,10
102689312,2024-01-20,0,10,8,0,0,0
102810665,2024-05-09,0,94,8,0,0,2
102961242,2023-12-07,0,15,11,0,0,0
102966178,2024-03-26,0,5,0,0,0,0
102966178,2024-03-27,0,9,12,0,0,0
103091150,2023-12-01,124,193,0,0,18,56
103091150,2024-02-15,0,45,4,0,0,0
103195677,2024-01-04,0,18,18,0,0,0
103195677,2024-04-15,0,13,10,0,0,0
103513027,2024-03-17,47,0,0,0,5,1
103513027,2024-03-18,0,4,0,0,32,3
103513027,2024-03-22,71,10,0,0,14,28
103513027,2024-04-25,8,12,52,0,8,6
103680857,2024-03-18,0,5,0,0,0,0
103680857,2024-03-20,0,29,28,0,0,1
103754377,2024-02-28,0,9,15,0,0,0
103810701,2024-01-20,20,2,0,0,0,4
103810701,2024-01-24,0,5,0,0,0,0
103810701,2024-01-25,0,12,0,0,0,4
103881176,2024-04-01,17,60,9,0,2,3
104002421,2023-12-16,112,831,0,0,0,20
104002421,2023-12-17,0,2199,0,0,7,10
104002421,2023-12-18,9816,81,0,0,16,86
104002421,2023-12-20,0,4662,0,0,0,0
104002421,2023-12-26,42,86,0,0,30,23
104002421,2023-12-27,90,97,0,0,167,372
104002421,2024-01-05,0,19,0,0,0,0
104065931,2023-12-01,0,19,11,0,0,0
104219923,2024-04-11,0,12,11,0,0,0
104250420,2024-04-03,7,44,17,0,4,3
104318364,2024-01-25,18,17,0,0,36,63
104383356,2024-05-19,0,4,0,0,0,0
104383356,2024-05-21,0,49,20,0,1,106
104892413,2024-02-19,0,5,0,0,0,0
104892413,2024-02-20,0,41,0,0,0,132
104892413,2024-02-21,0,24,19,0,0,0
105057343,2024-03-03,0,4,0,0,0,0
105057343,2024-03-04,0,22,33,0,0,0
105099866,2024-04-03,5,48,0,0,3,0
105099866,2024-04-04,3,42,24,0,2,5
105312547,2024-01-06,0,14,24,0,0,0
105358810,2024-03-30,0,0,12,0,0,0
105640036,2024-05-13,0,15,0,0,0,0
105640036,2024-05-14,5,13,16,0,4,5
105899368,2024-01-07,0,66,12,0,0,0
105904411,2024-04-19,0,39,13,0,0,0
106121422,2024-05-01,0,4,12,0,0,0
106329232,2024-04-22,0,9,0,0,0,0
106329232,2024-04-23,0,8,12,0,0,0
106429773,2024-04-26,0,36,17,0,0,0
106913740,2024-04-03,8,53,15,0,7,4
106953772,2024-03-31,10,26,9,0,0,0
110047955,2024-03-03,0,17,0,0,0,0
110047955,2024-03-12,0,90,20,0,0,55
110047955,2024-03-20,23,19,27,0,39,12
110062572,2024-04-02,3,0,0,0,0,0
110062572,2024-04-03,0,10,25,0,0,0
110069010,2023-11-22,19,26,0,0,10,41
110069010,2023-12-11,0,3,4,0,0,0
110090162,2024-04-17,10,63,0,0,0,0
110223205,2024-03-28,106,394,0,0,21,49
110223205,2024-04-02,0,114,0,0,0,0
110223205,2024-04-04,0,139,0,0,0,3
110283126,2024-03-01,6,20,0,0,31,36
110363639,2024-04-14,114,13,0,0,114,4
110421112,2024-01-11,0,69,0,0,0,0
110421112,2024-01-24,0,13,0,0,0,0
110421112,2024-01-27,0,1,0,0,0,0
110421112,2024-02-08,0,68,22,0,0,45
110421112,2024-02-09,0,0,0,0,0,0
110436588,2024-01-02,36,60,0,0,0,0
110436588,2024-01-07,0,44,0,0,0,0
110474643,2023-12-01,0,62,0,0,0,8
110474643,2024-01-05,0,0,0,0,0,0
110474643,2024-04-04,0,3,0,0,0,0
110630810,2024-03-31,14,0,0,0,0,0
110630810,2024-04-01,0,9,13,0,0,0
110643430,2024-01-03,0,53,0,0,0,0
110643430,2024-01-07,0,28,0,0,0,0
110656847,2024-01-25,106,0,0,0,22,8
110656847,2024-01-29,22,23,0,0,0,0
110656847,2024-02-03,11,9,0,0,0,0
110656847,2024-04-28,0,8,17,0,0,0
110689980,2024-04-09,227,145,0,0,615,79
110689980,2024-05-02,0,31,0,0,118,23
110730759,2024-05-01,22,40,0,0,0,2
110834554,2024-01-27,30,11,0,0,36,60
110845660,2024-02-10,0,2,0,0,0,0
110864506,2024-04-24,0,10,20,0,0,0
110918699,2023-12-01,0,3,0,0,13,46
110941289,2023-11-13,0,17,21,0,0,0
