index,customUser:user_Id,/CartScreen,/DashboardScreen,/LoginScreen,/OffersListPage,/ProductDetails,/ProductListing
0,100117465,2.0,18.0,0.0,0.0,38.0,154.0
1,100122192,0.0,12.5,11.0,0.0,0.0,0.0
2,100376756,53.666666666666664,87.22222222222223,12.0,0.0,14.0,5.333333333333333
3,100448405,4.0,40.0,67.0,0.0,0.0,0.0
4,100494415,60.0,301.0,64.0,0.0,27.0,16.5
5,100898548,0.0,29.0,9.0,0.0,0.0,0.0
6,101003254,10.0,7.0,7.0,0.0,3.0,0.0
7,101021453,9.0,48.0,20.0,0.0,4.0,0.0
8,101065595,0.0,15.5,1.0,0.0,16.5,2.0
9,101093660,0.0,21.0,9.0,0.0,0.0,0.0
10,101157311,102.0,17.5,15.0,0.0,7.0,9.0
11,101359027,33.666666666666664,24.4,0.0,0.0,17.0,11.333333333333334
12,101520125,46.0,66.0,9.0,0.0,7.0,6.0
13,101562001,16.0,47.0,14.0,0.0,2.0,5.0
14,101582439,0.0,25.0,25.0,0.0,0.0,0.0
15,101649150,0.0,5.0,10.0,0.0,0.0,0.0
16,101886293,185.0,0.0,0.0,0.0,0.0,0.0
17,102075182,0.0,12.0,14.5,0.0,0.0,0.0
18,102456583,0.0,14.0,10.0,0.0,0.0,0.0
19,102531979,0.0,18.5,31.0,0.0,0.0,0.0
20,102616711,0.0,11.0,8.0,0.0,0.0,0.0
21,102689312,15.0,5.0,8.0,0.0,5.0,10.0
22,102810665,0.0,94.0,8.0,0.0,0.0,2.0
23,102961242,0.0,15.0,11.0,0.0,0.0,0.0
24,102966178,0.0,7.0,12.0,0.0,0.0,0.0
25,103091150,124.0,119.0,4.0,0.0,18.0,56.0
26,103195677,0.0,15.5,14.0,0.0,0.0,0.0
27,103513027,43.25,6.0,52.0,0.0,18.2,8.2
28,103680857,0.0,17.0,28.0,0.0,0.0,1.0
29,103754377,0.0,9.0,15.0,0.0,0.0,0.0
30,103810701,20.0,6.333333333333333,0.0,0.0,0.0,4.0
31,103881176,17.0,60.0,9.0,0.0,2.0,3.0
33,104065931,0.0,19.0,11.0,0.0,0.0,0.0
34,104219923,0.0,12.0,11.0,0.0,0.0,0.0
35,104250420,7.0,44.0,17.0,0.0,4.0,3.0
36,104318364,18.0,17.0,0.0,0.0,36.0,63.0
37,104383356,0.0,26.5,20.0,0.0,1.0,106.0
38,104892413,0.0,23.333333333333332,19.0,0.0,0.0,132.0
39,105057343,0.0,13.0,33.0,0.0,0.0,0.0
40,105099866,4.0,45.0,24.0,0.0,2.5,2.5
41,105312547,0.0,14.0,24.0,0.0,0.0,0.0
42,105358810,0.0,0.0,12.0,0.0,0.0,0.0
43,105640036,5.0,14.0,16.0,0.0,4.0,5.0
44,105899368,0.0,66.0,12.0,0.0,0.0,0.0
45,105904411,0.0,39.0,13.0,0.0,0.0,0.0
46,106121422,0.0,4.0,12.0,0.0,0.0,0.0
47,106329232,0.0,8.5,12.0,0.0,0.0,0.0
48,106429773,0.0,36.0,17.0,0.0,0.0,0.0
49,106913740,8.0,53.0,15.0,0.0,7.0,4.0
50,106953772,10.0,26.0,9.0,0.0,0.0,0.0
51,110047955,23.0,42.0,23.5,0.0,39.0,40.666666666666664
52,110062572,3.0,10.0,25.0,0.0,0.0,0.0
53,110069010,19.0,14.5,4.0,0.0,10.0,41.0
54,110090162,10.0,63.0,0.0,0.0,0.0,0.0
55,110223205,106.0,215.66666666666666,0.0,0.0,21.0,26.0
56,110283126,6.0,20.0,0.0,0.0,31.0,36.0
57,110363639,114.0,13.0,0.0,0.0,114.0,4.0
58,110421112,0.0,30.2,22.0,0.0,0.0,45.0
59,110436588,36.0,52.0,0.0,0.0,0.0,0.0
60,110474643,0.0,21.666666666666668,0.0,0.0,0.0,8.0
61,110630810,14.0,9.0,13.0,0.0,0.0,0.0
62,110643430,0.0,40.5,0.0,0.0,0.0,0.0
63,110656847,46.333333333333336,10.0,17.0,0.0,22.0,8.0
64,110689980,227.0,88.0,0.0,0.0,366.5,51.0
65,110730759,22.0,40.0,0.0,0.0,0.0,2.0
66,110834554,30.0,11.0,0.0,0.0,36.0,60.0
67,110845660,0.0,2.0,0.0,0.0,0.0,0.0
68,110864506,0.0,10.0,20.0,0.0,0.0,0.0
69,110918699,0.0,3.0,0.0,0.0,13.0,46.0
70,110941289,0.0,17.0,21.0,0.0,0.0,0.0
71,111215565,0.0,119.0,0.0,0.0,0.0,0.0
72,111222336,16.0,13.6,0.0,0.0,23.25,15.0
73,111288484,0.0,17.0,0.0,0.0,0.0,36.0
74,111309977,34.0,0.0,0.0,0.0,48.0,8.0
75,111313367,0.0,18.0,0.0,0.0,114.0,6.0
76,111317480,0.0,50.0,0.0,0.0,178.0,68.0
77,111330667,0.0,14.0,0.0,0.0,0.0,0.0
78,111343047,17.0,12.6,11.0,0.0,43.5,18.0
79,111417877,6.0,39.5,0.0,0.0,32.0,19.0
80,111420002,0.0,49.0,0.0,0.0,55.0,28.0
81,111471943,168.0,185.5,0.0,0.0,8.0,4.0
82,111496259,0.0,45.0,0.0,0.0,9.0,13.0
83,111527655,0.0,30.0,0.0,0.0,22.0,42.0
84,111530219,131.0,125.0,0.0,0.0,0.0,0.0
85,111551851,30.0,27.333333333333332,0.0,0.0,5.0,3.0
86,111558202,57.0,7.0,0.0,0.0,13.0,11.0
87,111574386,0.0,0.0,0.0,0.0,0.0,211.0
88,111599890,12.0,0.0,0.0,0.0,0.0,0.0
89,111604067,64.0,47.5,0.0,0.0,0.0,2.0
90,111608197,0.0,17.0,0.0,0.0,0.0,0.0
91,111637097,127.0,66.0,0.0,0.0,92.0,70.0
92,111648876,78.33333333333333,62.25,0.0,0.0,68.0,60.333333333333336
93,111685876,8.0,14.0,28.0,0.0,3.0,4.0
94,111693950,137.0,5.0,0.0,0.0,91.0,7.0
95,111722702,0.0,0.0,0.0,0.0,58.0,59.0
96,111800074,50.0,9.0,0.0,0.0,16.0,19.0
97,111818564,0.0,14.5,0.0,0.0,0.0,0.0
98,111829340,63.0,75.0,0.0,0.0,12.0,6.0
99,111833778,0.0,22.0,0.0,0.0,24.0,9.0
100,111835854,0.0,22.0,25.0,0.0,0.0,0.0
101,111850543,0.0,35.0,0.0,0.0,0.0,0.0
102,111891992,164.0,56.5,0.0,0.0,0.0,0.0
103,111895314,87.0,17.666666666666668,0.0,0.0,74.0,6.0
104,111924971,33.0,3.0,0.0,0.0,42.0,13.0
105,111933083,121.0,102.0,0.0,0.0,102.0,22.0
106,111961201,5.0,42.0,17.0,0.0,3.0,3.0
107,111989403,0.0,11.0,35.0,0.0,0.0,4.0
108,112018554,48.0,10.0,0.0,0.0,4.0,7.0
109,112065627,144.0,13.0,0.0,0.0,14.0,9.0
111,112101223,0.0,0.0,0.0,0.0,0.0,3.0
112,112107792,33.0,41.0,0.0,4.0,8.0,7.0
113,112141340,105.0,139.0,73.0,0.0,0.0,0.0
114,112187243,7.0,23.0,0.0,0.0,0.0,26.0
115,112224721,0.0,6.0,10.0,0.0,0.0,0.0
116,112233100,13.25,38.5,0.0,0.0,21.0,10.0
117,112235972,16.0,27.5,24.0,0.0,45.5,38.0
118,112297055,96.0,0.0,0.0,0.0,11.0,2.0
119,112327141,0.0,13.0,0.0,0.0,92.0,33.0
120,112354035,24.0,0.0,0.0,0.0,0.0,5.0
121,112373347,0.0,16.0,10.0,0.0,0.0,0.0
122,112428832,100.0,132.5,0.0,0.0,2.0,12.0
123,112491048,0.0,31.0,0.0,0.0,0.0,0.0
124,112509444,0.0,29.4,34.0,0.0,0.0,0.0
125,112559775,0.0,247.0,0.0,0.0,109.0,86.0
126,112590332,260.0,114.5,0.0,0.0,155.0,112.0
127,112685118,11.0,27.0,10.0,0.0,2.0,3.0
128,112746038,28.0,486.5,0.0,0.0,3.0,4.0
129,112755742,126.0,40.0,0.0,0.0,105.0,143.0
130,112767509,27.5,25.5,29.0,0.0,24.0,47.0
131,112852651,0.0,15.666666666666666,0.0,0.0,0.0,0.0
132,112853711,0.0,32.0,0.0,0.0,0.0,98.0
133,112901787,16.0,4.5,8.0,0.0,3.0,17.0
134,112977966,6.0,105.0,0.0,0.0,0.0,11.0
135,112980729,6.0,47.0,40.5,0.0,3.0,0.0
136,113001280,8.5,29.0,0.0,0.0,28.0,33.5
137,113049982,32.0,7.0,0.0,0.0,39.0,20.0
138,113060378,83.0,10.0,0.0,0.0,0.0,0.0
139,113060784,0.0,23.0,0.0,0.0,0.0,0.0
140,113093432,68.5,27.666666666666668,5.0,0.0,0.0,4.0
141,113176403,5.0,57.333333333333336,15.0,0.0,17.0,47.0
142,113225490,7.0,41.0,0.0,0.0,0.0,0.0
143,113228988,0.0,104.0,13.0,0.0,0.0,0.0
145,113291547,9.0,58.25,0.0,0.0,0.0,50.0
146,113302146,61.0,2.0,0.0,0.0,16.0,3.0
147,113303302,3.0,1.0,0.0,0.0,0.0,3.0
148,113353173,203.0,14.25,83.0,0.0,15.0,4.0
149,113389380,2.0,7.0,0.0,0.0,36.0,41.0
