index,customUser:user_Id,/CartScreen,/DashboardScreen,/LoginScreen,/OffersListPage,/ProductDetails,/ProductListing
37,103652017,30.0,366.0,277.0,0.0,28.0,11.0
466,701280208,1200.0,318.0,484.0,0.0,434.0,125.0
567,701966885,381.0,2664.0,123.0,4.0,95.0,82.0
708,702905015,506.0,1332.0,188.0,0.0,15.0,271.0
738,703280636,91.0,475.0,120.0,26.0,0.0,0.0
779,703634259,407.0,147.0,112.0,0.0,28.0,7.0
787,703671898,334.0,427.0,124.0,0.0,27.0,36.0
892,704418765,39.0,521.0,131.0,4.0,0.0,4.0
1012,705083635,175.0,102.0,209.0,0.0,53.0,31.0
1164,705968069,15.0,79.0,193.0,0.0,3.0,0.0
1184,706141877,5.0,92.0,168.0,0.0,4.0,1.0
1523,708184006,18.0,44.0,127.0,0.0,6.0,61.0
1717,710333513,151.0,341.0,129.0,0.0,46.0,35.0
1725,710361380,9.0,11.0,312.0,0.0,6.0,0.0
1802,710724908,24.0,102.0,176.0,0.0,8.0,10.0
1908,711221750,7.0,29.0,158.0,0.0,6.0,3.0
2052,711921142,63.0,66.0,135.0,0.0,70.0,18.0
2093,712110555,11.0,57.0,169.0,0.0,5.0,10.0
2133,712336235,1769.0,445.0,503.0,0.0,141.0,127.0
2142,712357421,1372.0,1095.0,245.0,5.0,121.0,138.0
2160,712451805,479.0,802.0,112.0,0.0,100.0,137.0
2204,712700088,75.0,976.0,118.0,0.0,0.0,0.0
2350,713468748,36.0,250.0,198.0,0.0,34.0,4.0
2440,713923530,388.0,1532.0,130.0,0.0,48.0,41.0
2570,714626493,634.0,611.0,183.0,0.0,164.0,139.0
2577,714662215,89.0,353.0,117.0,0.0,4.0,3.0
2732,715582774,257.0,314.0,145.0,2.0,193.0,11.0
2880,716385992,426.0,2310.0,168.0,0.0,121.0,144.0
3057,717401120,24.0,112.0,143.0,0.0,14.0,9.0
3339,718962841,321.0,212.0,119.0,28.0,121.0,98.0
3403,719447769,7.0,220.0,120.0,0.0,2.0,4.0
3471,719854556,62.0,606.0,135.0,0.0,55.0,119.0
3536,720207025,140.0,41.0,129.0,0.0,3.0,0.0
3547,720228599,11.0,350.0,396.0,0.0,2.0,4.0
3592,720323999,470.0,1192.0,210.0,0.0,74.0,95.0
3931,720924097,24.0,366.0,129.0,0.0,5.0,6.0
4111,721352817,42.0,815.0,236.0,0.0,0.0,23.0
4412,721723097,168.0,183.0,120.0,4.0,53.0,62.0
4413,721723603,10.0,96.0,133.0,0.0,64.0,34.0
4467,721806865,46.0,89.0,268.0,0.0,0.0,50.0
4471,721809754,407.0,1482.0,117.0,0.0,56.0,83.0
4630,722146888,637.0,306.0,306.0,0.0,49.0,38.0
4792,722330469,10.0,304.0,328.0,0.0,4.0,58.0
4983,722544266,111.0,522.0,110.0,0.0,8.0,15.0
4998,722566167,631.0,59.0,323.0,0.0,45.0,12.0
5061,722628278,68.0,111.0,143.0,0.0,0.0,65.0
5297,722837141,476.0,872.0,147.0,3.0,167.0,79.0
5318,722857974,482.0,345.0,184.0,0.0,107.0,32.0
5374,722911627,380.0,494.0,330.0,3.0,39.0,300.0
5375,722912806,1799.0,4004.0,471.0,0.0,420.0,179.0
5517,723149555,10.0,82.0,123.0,0.0,10.0,5.0
5645,723410747,30.0,779.0,788.0,0.0,5.0,84.0
6000,724169269,501.0,2943.0,129.0,0.0,88.0,72.0
6187,724642421,302.0,113.0,144.0,0.0,14.0,8.0
6564,725598618,4.0,79.0,211.0,0.0,8.0,2.0
6576,725633910,81.0,1523.0,123.0,0.0,18.0,15.0
6722,726038464,53.0,74.0,174.0,0.0,15.0,15.0
6802,726318415,179.0,450.0,193.0,0.0,59.0,23.0
6844,726430649,218.0,20.0,142.0,0.0,20.0,22.0
6956,726761252,459.0,753.0,289.0,0.0,27.0,19.0
6989,726842028,32.0,186.0,141.0,0.0,3.0,0.0
7012,726892945,82.0,486.0,247.0,0.0,21.0,44.0
7023,726944035,8.0,33.0,142.0,0.0,24.0,19.0
7128,727317264,10.0,128.0,161.0,0.0,3.0,15.0
7260,727744242,87.0,2744.0,130.0,0.0,15.0,14.0
7461,728482630,791.0,270.0,331.0,3.0,47.0,331.0
7511,728691531,443.0,1272.0,152.0,0.0,0.0,13.0
7567,728903552,81.0,22.0,107.0,0.0,38.0,81.0
7658,729301497,4.0,171.0,124.0,0.0,1.0,3.0
7744,729668008,49.0,1768.0,222.0,0.0,88.0,174.0
7781,729847204,184.0,269.0,119.0,0.0,23.0,58.0
7857,731845281,21.0,103.0,716.0,0.0,3.0,31.0
8009,736280250,83.0,86.0,316.0,0.0,10.0,2.0
8065,739088251,7.0,33.0,131.0,0.0,3.0,4.0
8298,743092498,704.0,589.0,245.0,0.0,96.0,47.0
8499,748012155,14.0,75.0,119.0,0.0,4.0,1.0
9013,784334967,108.0,64.0,456.0,0.0,96.0,27.0
9040,787510035,13.0,136.0,139.0,0.0,10.0,7.0
9067,788569131,15.0,44.0,169.0,0.0,11.0,25.0
9119,790372063,114.0,48.0,161.0,0.0,16.0,13.0
9160,790706813,655.0,1196.0,277.0,0.0,280.0,242.0
9297,792383236,5.0,84.0,228.0,0.0,22.0,27.0
9299,792384237,127.0,292.0,254.0,0.0,99.0,55.0
9353,792889560,107.0,1269.0,258.0,0.0,11.0,27.0
9651,797501642,296.0,771.0,189.0,10.0,109.0,35.0
9721,798331016,5.0,49.0,167.0,0.0,3.0,1.0
9726,798339562,41.0,127.0,197.0,0.0,7.0,8.0
9741,798509949,14.0,43.0,127.0,0.0,20.0,4.0
